date,sales,promo_flag
2024-06-06,486.14,0
2023-11-18,490.0,0
2026-06-05,633.4,0
2023-11-29,400.09,0
07/08/2025,552.67,0
2025-06-20,547.41,0
2026-04-02,741.22,0
2025-05-25,605.37,0
2024-02-28,556.88,0
2025-01-31,640.79,0
2024-09-04,437.93,0
04/11/2025,646.11,0
2025-07-28,507.22,0
2024-09-14,485.9,0
2023-10-09,370.02,0
2024-12-04,577.77,0
2026-04-11,749.24,0
2026-05-18,629.15,0
04/30/2025,541.86,0
2024-03-12,474.63,0
2025-08-22,540.17,0
2024-07-16,366.19,0
2024-05-15,419.28,0
2024-06-04,382.92,0
2025-05-26,524.99,0
03/05/2024,757.68,1
2026-01-30,779.09,0
2025-10-20,611.01,0
2025-06-01,586.92,0
2023-11-17,442.63,0
2024-05-16,479.65,0
2024-01-09,497.2,0
10/01/2023,368.99,0
2025-07-07,512.62,0
2024-06-02,477.51,0
2025-06-24,504.79,0
2024-09-28,491.87,0
2025-03-29,661.35,0
2025-10-22,578.48,0
08/17/2023,336.58,0
2026-02-25,,0
2025-04-20,615.96,0
2024-04-08,482.64,0
2025-08-23,6180.299999999999,0
2023-11-11,692.74,1
2025-08-14,714.3,1
10/27/2024,520.68,0
2023-11-27,477.49,0
2025-08-15,501.1,0
2023-09-25,362.67,0
2025-11-10,659.17,0
2024-02-10,604.39,0
2023-09-02,,0
01/22/2026,759.61,0
2025-11-07,658.58,0
2025-02-01,668.77,0
2025-08-21,,0
2024-10-30,,0
2026-03-21,786.25,0
2026-01-23,754.42,0
02/12/2024,544.28,0
2024-01-01,461.77,0
2023-11-05,,0
2023-12-22,545.23,0
2023-12-14,477.78,0
2026-02-04,687.86,0
2025-10-15,,0
05/17/2026,947.66,1
2025-09-17,580.21,0
2024-04-25,458.19,0
2023-10-20,421.19,0
2024-07-27,458.01,0
2024-08-16,387.92,0
2024-02-27,528.8,0
09/03/2025,524.79,0
2024-08-17,444.65,0
2025-02-15,672.93,0
2025-03-21,646.71,0
2026-07-06,610.17,0
2023-09-27,378.83,0
2024-03-18,472.89,0
09/13/2024,463.98,0
2023-12-20,454.27,0
2026-04-23,651.12,0
2025-10-14,552.95,0
2026-01-28,728.13,0
2024-04-22,486.43,0
2023-08-22,305.22,0
10/02/2023,,0
2025-05-28,571.86,0
2025-05-16,557.94,0
2024-11-08,591.29,0
2024-06-17,408.86,0
2025-01-30,630.38,0
2025-12-03,640.78,0
08/04/2024,7.9506,0
2025-08-04,476.58,0
2025-04-01,810.91,1
2024-05-10,493.5,0
2025-03-13,616.88,0
2026-01-31,787.16,0
2024-04-23,474.45,0
12/08/2025,691.55,0
2026-08-14,564.85,0
2026-02-23,758.46,0
2024-09-02,384.36,0
2024-09-12,413.08,0
2025-05-23,582.34,0
2024-10-09,477.64,0
10/22/2024,484.13,0
2023-11-03,430.88,0
2023-12-05,470.47,0
2025-04-29,572.56,0
2023-12-07,526.72,0
2026-03-05,715.8,0
2025-08-08,521.04,0
11/17/2024,625.02,0
2023-11-28,445.23,0
2025-09-26,585.71,0
2025-12-15,652.48,0
2025-02-12,822.56,1
2025-07-24,523.97,0
2025-07-03,503.25,0
04/09/2025,552.26,0
2024-12-14,617.87,0
2026-03-19,745.96,0
2025-02-06,615.4,0
2024-11-05,494.43,0
2025-12-20,731.2,0
2025-11-11,612.28,0
05/30/2026,704.57,0
2024-03-21,530.28,0
2024-01-02,486.84,0
2025-02-11,605.07,0
2025-09-11,549.76,0
2026-04-30,699.73,0
2024-12-02,551.69,0
02/27/2025,583.07,0
2025-02-20,636.42,0
2023-12-30,572.27,0
2024-10-13,532.02,0
2025-10-07,598.76,0
2025-04-26,614.07,0
2026-07-31,660.59,0
01/11/2024,493.73,0
2026-02-05,747.51,0
2025-03-30,657.29,0
2024-04-13,494.95,0
2025-04-07,596.16,0
2025-05-21,554.3,0
2025-09-20,600.27,0
02/26/2026,911.47,1
2025-10-29,596.76,0
2024-10-05,541.13,0
2023-12-01,532.11,0
2024-01-29,528.35,0
2025-04-16,605.56,0
2025-12-02,697.08,0
12/23/2023,576.23,0
2026-07-03,671.96,0
2025-11-14,876.58,1
2026-02-13,759.43,0
2025-03-12,603.03,0
2025-05-07,548.75,0
2026-08-15,655.49,0
06/15/2026,638.39,0
2025-01-06,618.73,0
2023-09-17,359.16,0
2025-02-26,623.59,0
2026-06-21,622.48,0
2024-09-19,454.01,0
2024-09-21,499.24,0
05/02/2025,578.81,0
2025-07-31,494.55,0
2023-12-08,519.68,0
2026-01-11,777.36,0
2023-12-28,514.68,0
2025-04-06,869.33,1
2024-01-17,547.01,0
02/24/2025,626.08,0
2025-11-20,647.56,0
2025-11-23,707.54,0
2026-02-20,812.51,0
2023-10-23,379.7,0
2026-01-08,658.6,0
2024-05-07,411.49,0
06/10/2024,392.48,0
2024-03-16,534.03,0
2026-05-22,680.62,0
2024-01-15,547.3,0
2024-11-13,531.22,0
2025-02-17,617.5,0
2024-01-24,705.71,1
03/05/2025,630.71,0
2025-06-28,533.47,0
2023-11-23,4341.2,0
2023-11-19,497.04,0
2024-07-21,470.51,0
2025-11-18,598.29,0
2024-05-25,487.3,0
02/28/2026,754.22,0
2024-02-21,529.86,0
2026-07-30,599.5,0
2024-11-22,568.57,0
2026-07-18,608.1,0
2024-12-26,582.39,0
2025-11-30,705.91,0
03/31/2024,741.16,1
2023-08-31,315.75,0
2024-02-05,456.7,0
2025-11-28,681.15,0
2024-09-20,427.14,0
2025-10-27,791.48,1
2026-01-07,691.83,0
12/11/2023,488.4,0
2025-04-12,672.79,0
2025-08-09,571.93,0
2023-12-27,509.81,0
2023-09-05,340.75,0
2025-12-05,678.25,0
2023-12-03,497.5,0
01/04/2024,495.47,0
2026-03-17,727.81,0
2024-04-12,562.88,0
2025-09-22,576.82,0
2025-06-27,526.88,0
2024-08-12,398.69,0
2026-04-22,945.1,1
10/04/2024,496.1,0
2024-08-27,381.44,0
2024-10-20,489.23,0
2024-04-09,502.38,0
2024-04-05,468.32,0
2026-03-28,780.25,0
2024-10-07,511.74,0
12/03/2024,574.12,0
2025-01-07,601.35,0
2026-06-12,,0
2024-07-07,469.43,0
2025-05-29,508.01,0
2025-06-13,582.4,0
2026-07-14,609.26,0
01/26/2025,912.09,1
2025-11-03,579.81,0
2025-09-30,554.72,0
2023-10-15,427.77,0
2025-12-21,755.08,0
2024-11-20,563.39,0
2026-01-25,812.6,0
06/25/2026,648.64,0
2023-12-12,511.48,0
2024-10-14,476.88,0
2023-10-24,391.09,0
2026-02-07,822.84,0
2026-02-02,728.75,0
2024-09-29,465.54,0
12/08/2024,642.51,0
2024-08-28,431.74,0
2024-09-27,457.04,0
2024-11-18,489.21,0
2025-08-18,485.31,0
2026-07-15,553.1,0
2025-11-05,658.1,0
09/23/2023,396.21,0
2025-10-24,622.47,0
2025-06-05,556.28,0
2023-12-02,487.71,0
2025-01-17,652.79,0
2024-08-08,380.26,0
2024-08-13,378.46,0
07/11/2024,683.45,1
2026-05-29,608.97,0
2024-04-27,532.0,0
2025-09-09,495.22,0
2025-03-08,661.53,0
2026-02-27,784.33,0
2024-09-17,405.62,0
11/11/2024,539.05,0
2023-10-11,373.7,0
2024-03-22,532.11,0
2024-07-26,459.84,0
2025-11-24,685.64,0
2025-03-02,680.05,0
2025-12-23,688.72,0
10/12/2023,307.96,0
2025-05-10,587.5,0
2024-12-16,576.43,0
2024-02-04,541.61,0
2024-06-07,443.57,0
2024-02-16,580.52,0
2023-10-09,370.02,0
01/29/2025,650.62,0
2026-05-24,663.34,0
2024-08-03,442.47,0
2025-12-27,759.65,0
2024-01-16,512.99,0
2026-06-26,657.17,0
2025-01-22,613.68,0
04/06/2024,538.71,0
2025-03-16,617.66,0
2026-02-03,748.58,0
2025-05-27,565.82,0
2025-10-23,653.13,0
2025-11-17,633.15,0
2026-05-15,676.32,0
02/03/2025,558.5,0
2024-02-23,546.84,0
2024-09-15,473.78,0
2026-06-24,620.46,0
2026-02-16,690.62,0
2025-08-13,581.37,0
2024-02-20,486.71,0
03/20/2025,617.78,0
2023-09-29,364.74,0
2026-01-19,692.64,0
2026-07-13,628.05,0
2025-07-10,502.76,0
2025-12-26,712.07,0
2024-01-07,525.67,0
07/23/2026,597.68,0
2025-06-03,541.89,0
2026-02-24,753.31,0
2024-08-09,469.47,0
2024-07-05,669.02,1
2024-07-10,402.8,0
2024-11-16,599.32,0
02/12/2026,714.93,0
2025-03-17,591.11,0
2025-02-18,605.23,0
2025-06-26,546.68,0
2024-07-17,411.26,0
2025-01-20,612.17,0
2025-07-11,556.37,0
05/14/2025,504.02,0
2026-04-10,707.09,0
2025-08-12,501.11,0
2026-05-31,658.79,0
2026-06-29,615.61,0
2026-03-16,673.69,0
2026-02-09,706.89,0
05/29/2024,433.75,0
2024-10-15,,0
2025-12-04,693.53,0
2025-09-27,592.58,0
2023-12-10,496.45,0
2024-06-05,428.19,0
2025-05-13,532.09,0
03/25/2026,706.49,0
2024-05-17,725.88,1
2025-03-10,612.26,0
2024-07-01,392.86,0
2025-06-15,613.14,0
2024-05-30,386.56,0
2023-12-25,458.67,0
09/23/2024,469.1,0
2024-07-14,472.13,0
2025-09-10,531.47,0
2025-08-16,520.94,0
2025-05-09,616.44,0
2023-09-26,334.83,0
2024-06-23,452.94,0
08/30/2024,433.01,0
2025-06-19,542.91,0
2026-06-09,630.8,0
2024-05-18,464.24,0
2023-08-25,383.19,0
2025-07-01,522.61,0
2025-11-26,664.18,0
09/25/2024,432.54,0
2024-10-12,590.39,0
2025-09-05,529.65,0
2026-01-20,985.0,1
2025-02-10,650.14,0
2024-07-05,669.02,1
2025-08-31,622.63,0
10/11/2025,604.62,0
2024-12-30,569.66,0
2023-11-04,471.22,0
2025-11-19,647.69,0
2024-07-30,401.11,0
2026-08-09,673.17,0
2023-10-05,358.91,0
04/26/2024,529.47,0
2023-09-06,358.5,0
2025-06-12,520.2,0
2023-12-31,551.13,0
2025-02-14,686.24,0
2025-03-18,623.98,0
2025-12-14,701.74,0
05/03/2026,686.61,0
2026-06-10,620.87,0
2025-08-26,507.37,0
2024-09-08,408.11,0
2023-09-11,297.03,0
2023-10-03,350.48,0
2026-06-17,623.48,0
02/09/2024,524.65,0
2023-09-15,316.05,0
2025-03-22,666.39,0
2024-01-18,571.55,0
2025-04-13,612.48,0
2025-05-16,557.94,0
2025-11-22,14.907,0
01/27/2024,581.42,0
2024-04-20,520.71,0
2026-03-31,684.62,0
2024-01-23,519.7,0
2025-02-08,674.55,0
2025-01-09,629.37,0
2024-10-31,543.12,0
11/08/2025,685.95,0
2026-03-30,664.29,0
2026-01-01,740.79,0
2024-08-23,387.11,0
2026-05-16,,0
2023-10-10,355.24,0
2025-04-04,581.24,0
08/17/2025,612.2,0
2023-09-10,390.25,0
2024-06-14,435.37,0
2025-03-06,596.37,0
2025-03-26,863.05,1
2023-09-04,329.73,0
2025-11-04,625.46,0
04/30/2024,429.44,0
2024-04-01,545.88,0
2025-04-19,672.23,0
2024-10-17,460.94,0
2025-07-04,520.62,0
2025-12-18,695.77,0
2024-03-29,494.73,0
09/18/2025,517.32,0
2024-10-23,495.63,0
2024-03-25,494.64,0
2026-03-04,723.13,0
2025-05-22,528.18,0
2024-02-06,566.97,0
2024-11-10,560.98,0
07/27/2026,576.02,0
2024-06-01,491.21,0
2023-10-22,399.94,0
2024-11-21,532.4,0
2026-08-02,630.13,0
2023-10-27,373.7,0
2025-08-02,592.39,0
10/10/2024,470.53,0
2023-11-07,484.38,0
2024-01-21,554.02,0
2026-04-01,672.01,0
2023-09-01,335.32,0
2026-08-07,662.85,0
2025-02-13,687.62,0
06/11/2025,541.14,0
2024-11-19,555.51,0
2025-06-09,545.28,0
2024-10-02,472.7,0
2024-12-29,644.99,0
2026-03-07,761.89,0
2026-01-06,730.07,0
08/21/2024,450.17,0
2025-05-19,560.92,0
2024-11-27,587.84,0
2023-11-30,492.24,0
2024-05-14,,0
2026-02-15,750.23,0
2026-05-10,645.11,0
10/08/2025,564.64,0
2024-04-17,474.48,0
2024-10-29,492.33,0
2025-10-13,582.77,0
2024-03-09,570.11,0
2026-07-21,576.77,0
2025-04-15,585.9,0
05/20/2025,515.6,0
2023-11-22,435.43,0
2024-12-06,551.78,0
2026-07-17,605.03,0
2024-12-31,571.2,0
2024-02-01,561.93,0
2026-05-11,660.06,0
04/03/2026,708.27,0
2026-04-29,657.3,0
2024-07-03,400.44,0
2024-08-18,425.51,0
2024-01-03,511.06,0
2024-05-22,398.35,0
2024-09-11,408.49,0
03/19/2025,622.63,0
2026-04-15,683.19,0
2023-11-13,426.0,0
2026-03-03,695.88,0
2024-05-26,519.54,0
2025-06-10,496.41,0
2024-11-28,577.4,0
08/07/2025,523.15,0
2026-05-28,632.73,0
2025-07-17,476.23,0
2024-03-08,596.58,0
2024-09-30,492.99,0
2024-07-28,435.52,0
2024-08-22,451.28,0
09/09/2023,330.94,0
2024-08-02,458.72,0
2025-07-06,547.98,0
2026-07-22,608.76,0
2024-07-22,333.29,0
2024-06-28,422.43,0
2026-07-19,652.71,0
05/30/2025,542.1,0
2024-08-10,474.33,0
2026-08-04,599.53,0
2024-04-16,542.86,0
2025-06-25,464.28,0
2024-07-06,455.9,0
2025-12-24,743.31,0
05/08/2024,459.75,0
2023-11-24,496.38,0
2025-12-30,726.78,0
2024-10-17,460.94,0
2026-05-26,631.52,0
2023-11-14,390.23,0
2025-01-23,624.86,0
07/19/2024,445.48,0
2025-10-16,582.73,0
2024-11-01,473.38,0
2026-07-09,666.74,0
2026-03-11,747.71,0
2024-12-25,636.0,0
2025-06-17,487.75,0
08/30/2025,547.5,0
2026-04-17,716.82,0
2026-07-29,583.37,0
2024-05-06,407.42,0
2024-06-22,437.26,0
2025-08-01,553.55,0
2026-06-18,620.47,0
03/02/2024,616.26,0
2024-01-05,531.28,0
2025-04-14,589.54,0
2023-12-18,492.15,0
2025-01-02,616.15,0
2023-12-06,491.27,0
2023-11-09,464.11,0
11/01/2025,674.98,0
2025-01-21,632.18,0
2025-07-21,481.1,0
2024-12-21,629.59,0
2026-04-20,657.7,0
2025-05-01,590.25,0
2023-10-30,314.96,0
08/06/2026,569.23,0
2025-12-16,651.9,0
2024-05-19,475.42,0
2024-09-24,482.99,0
2024-01-19,570.94,0
2024-02-26,505.07,0
2026-07-10,637.24,0
02/22/2024,535.71,0
2023-10-06,412.06,0
2023-09-24,372.76,0
2024-10-16,471.33,0
2026-07-25,680.84,0
2024-03-15,598.01,0
2024-09-01,440.91,0
12/01/2024,618.62,0
2024-12-09,540.93,0
2025-01-25,706.77,0
2023-10-31,383.34,0
2024-04-24,491.78,0
2025-03-09,639.6,0
2024-06-19,442.72,0
04/02/2025,607.63,0
2025-12-28,739.72,0
2024-07-23,389.04,0
2025-09-07,542.13,0
2023-08-28,,0
2025-08-20,509.63,0
2024-12-24,593.65,0
11/30/2024,620.17,0
2025-02-16,606.13,0
2025-05-17,571.67,0
2024-05-27,416.89,0
2024-04-29,458.04,0
2025-08-06,760.6,1
2026-05-11,660.06,0
01/27/2026,925.94,1
2024-03-30,618.25,0
2025-03-28,852.1,1
2025-07-02,529.32,0
2024-03-26,712.96,1
2024-10-24,476.08,0
2024-08-26,588.62,1
04/21/2026,702.12,0
2023-10-25,389.07,0
2023-10-10,355.24,0
2025-03-31,594.91,0
2023-09-07,322.99,0
2023-11-02,632.35,1
2025-02-25,639.18,0
12/23/2024,586.34,0
2025-09-19,612.06,0
2024-10-03,449.27,0
2026-01-03,815.69,0
2023-12-21,530.97,0
2024-04-04,498.39,0
2025-09-28,603.63,0
09/28/2023,365.63,0
2025-01-24,603.61,0
2025-03-23,625.59,0
2025-03-27,-587.29,0
2026-03-12,707.95,0
2025-05-11,632.04,0
2025-10-09,607.54,0
09/13/2025,572.95,0
2024-08-31,484.02,0
2024-03-11,459.28,0
2024-07-04,422.21,0
2025-09-29,558.9,0
2023-08-23,330.42,0
2025-11-13,849.1,1
12/01/2025,686.9,0
2025-01-01,585.81,0
2025-04-14,589.54,0
2025-01-08,599.96,0
2026-02-01,757.6,0
2025-12-25,706.02,0
2024-05-05,550.53,0
05/28/2024,443.87,0
2025-05-24,557.63,0
2025-04-10,569.97,0
2026-06-13,641.43,0
2024-12-13,568.1,0
2024-11-23,582.53,0
2024-07-08,413.44,0
05/14/2026,666.72,0
2024-11-02,635.23,0
2025-06-22,521.18,0
2024-06-15,,0
2026-05-23,621.42,0
2024-11-04,532.93,0
2025-07-05,521.4,0
03/23/2026,725.94,0
2024-11-06,510.01,0
2024-07-13,483.19,0
2024-10-01,502.02,0
2024-05-11,530.31,0
2025-03-15,698.23,0
2025-04-22,529.98,0
03/27/2026,738.39,0
2025-11-25,649.41,0
2024-05-24,437.34,0
2025-06-14,593.06,0
2026-01-24,762.89,0
2025-09-02,502.5,0
2025-08-10,534.33,0
03/03/2025,611.26,0
2026-01-13,730.22,0
2026-06-19,626.13,0
2026-06-28,583.23,0
2024-04-07,,0
2024-04-21,559.23,0
2025-12-07,729.71,0
02/02/2024,537.27,0
2025-01-10,644.76,0
2024-07-20,456.45,0
2026-03-18,713.5,0
2026-02-19,770.56,0
2025-10-17,682.81,0
2024-10-25,525.84,0
02/19/2025,619.73,0
2025-09-21,592.66,0
2025-10-04,653.12,0
2024-01-28,511.86,0
2024-01-14,546.09,0
2024-04-02,487.54,0
2025-07-15,462.92,0
11/20/2023,458.6,0
2025-10-10,642.45,0
2024-03-28,739.06,1
2025-04-17,542.28,0
2025-07-29,476.35,0
2024-12-12,616.14,0
2025-01-12,658.42,0
04/21/2025,559.06,0
2026-06-04,664.96,0
2023-09-20,320.53,0
2024-03-24,505.29,0
2023-10-28,458.78,0
2025-11-29,775.11,0
2024-03-27,467.11,0
03/20/2024,495.53,0
2026-05-19,647.4,0
2024-09-22,526.41,0
2026-08-11,641.17,0
2024-08-24,447.29,0
2023-08-29,311.01,0
2026-05-06,615.58,0
07/31/2024,349.32,0
2024-03-04,473.33,0
2025-08-25,517.57,0
2025-07-26,602.03,0
2024-04-10,520.47,0
2025-07-25,533.84,0
2024-10-19,554.79,0
04/12/2026,759.69,0
2026-06-06,722.71,0
2025-04-28,11.3532,0
2026-02-21,780.81,0
2024-06-13,419.26,0
2023-10-19,398.44,0
2025-09-04,558.14,0
04/27/2025,563.29,0
2023-08-30,365.66,0
2025-12-22,705.02,0
2024-11-03,558.52,0
2023-09-03,344.48,0
2025-10-06,567.15,0
2026-04-07,702.95,0
09/29/2025,558.9,0
2025-10-21,544.26,0
2024-08-05,411.59,0
2024-03-14,505.87,0
2023-11-16,464.74,0
2024-06-25,401.05,0
2024-07-29,399.75,0
09/06/2024,455.66,0
2024-08-01,352.76,0
2024-12-10,550.25,0
2026-03-15,733.42,0
2026-04-08,694.48,0
2026-05-20,590.01,0
2025-03-01,671.01,0
04/18/2025,622.88,0
2025-07-23,531.86,0
2023-09-18,325.27,0
2024-08-29,479.77,0
2025-06-16,481.93,0
2025-06-29,561.25,0
2024-02-07,482.53,0
05/08/2026,676.95,0
2026-05-09,679.38,0
2024-10-06,545.43,0
2026-04-14,670.64,0
2026-07-04,656.55,0
2024-03-06,512.09,0
2026-02-17,692.06,0
06/08/2024,487.02,0
2026-01-12,741.18,0
2025-04-03,633.02,0
2026-05-27,589.35,0
2025-01-18,669.22,0
2026-07-07,634.7,0
2026-05-01,724.12,0
06/11/2026,604.34,0
2026-04-19,670.95,0
2025-05-08,525.82,0
2024-12-28,,0
2026-01-16,771.41,0
2026-06-08,635.94,0
2026-06-03,592.02,0
12/29/2023,514.15,0
2023-10-16,361.77,0
2025-07-20,543.81,0
2023-09-12,331.24,0
2026-03-01,751.13,0
2023-11-26,508.88,0
2025-02-09,719.36,0
04/08/2025,,0
2025-06-23,528.98,0
2025-10-18,644.29,0
2025-10-30,887.42,1
2025-01-28,626.08,0
2024-08-20,388.34,0
2024-06-27,365.94,0
11/06/2025,595.63,0
2026-05-25,654.13,0
2025-12-11,682.03,0
2025-04-24,551.47,0
2024-04-28,499.87,0
2025-02-22,699.01,0
2026-04-05,811.25,0
12/20/2024,635.35,0
2024-11-09,791.04,1
2025-06-06,561.64,0
2024-12-15,,0
2023-09-08,352.89,0
2023-10-18,405.8,0
2024-01-13,,0
12/22/2024,584.49,0
2025-08-27,473.09,0
2026-07-02,617.74,0
2026-04-25,766.66,0
2025-10-28,624.15,0
2024-05-03,,0
2023-10-08,351.68,0
04/18/2024,475.51,0
2024-02-08,519.17,0
2023-09-21,286.69,0
2026-04-27,680.39,0
2024-02-13,511.38,0
2025-07-09,513.65,0
2025-09-08,521.52,0
12/16/2023,565.99,0
2026-07-12,636.49,0
2024-05-21,407.87,0
2023-09-30,399.92,0
2024-06-16,693.02,1
2025-12-19,702.41,0
2023-11-01,417.09,0
08/20/2025,509.63,0
2024-08-25,442.74,0
2026-03-02,763.71,0
2024-03-19,512.79,0
2024-05-13,478.05,0
2024-06-29,464.71,0
2025-08-28,562.78,0
11/12/2024,555.54,0
2025-01-11,674.39,0
2025-01-03,640.67,0
2023-09-19,323.9,0
2023-08-26,371.81,0
2025-07-18,507.95,0
2024-01-26,528.93,0
05/31/2024,413.32,0
2024-06-11,435.61,0
2025-05-06,497.71,0
2025-12-06,783.33,0
2025-05-15,544.52,0
2024-05-23,466.24,0
2026-07-05,682.11,0
04/23/2025,567.08,0
2024-12-23,586.34,0
2025-01-04,717.28,0
2024-02-17,564.6,0
2026-05-07,676.25,0
2025-12-10,661.61,0
2026-08-03,-633.98,0
07/14/2025,487.15,0
2025-09-14,580.07,0
2026-08-13,665.2,0
2023-09-22,380.88,0
2023-08-19,304.71,0
2025-09-25,546.51,0
2025-01-16,621.9,0
01/05/2025,625.93,0
2024-06-26,392.71,0
2024-01-06,742.08,1
2026-01-17,796.25,0
2024-02-18,560.47,0
2026-07-24,614.65,0
2026-06-16,587.74,0
03/08/2026,783.97,0
2025-12-31,688.74,0
2025-01-19,658.63,0
2025-09-01,545.44,0
2026-06-02,635.71,0
2026-02-10,710.46,0
2023-12-13,476.64,0
07/01/2026,558.32,0
2023-12-09,480.34,0
2025-02-23,675.39,0
2024-01-31,570.3,0
2024-02-19,526.76,0
2024-05-20,385.16,0
2026-06-07,670.89,0
08/03/2025,567.92,0
2026-06-30,646.61,0
2024-09-09,438.93,0
2025-03-11,621.73,0
2026-01-14,740.06,0
2026-07-20,578.33,0
2024-02-11,557.59,0
09/05/2024,480.08,0
2026-06-22,661.18,0
2025-01-27,606.75,0
2025-12-13,715.08,0
2025-01-15,608.13,0
2024-10-11,487.3,0
2025-05-12,547.82,0
01/26/2026,687.95,0
2026-01-10,773.03,0
2025-05-31,595.63,0
2024-05-04,477.8,0
2025-12-17,693.76,0
2025-06-21,554.24,0
2024-07-25,429.4,0
09/26/2024,457.04,0
2025-04-25,826.97,1
2024-12-19,651.89,0
2026-03-13,707.42,0
2026-06-23,602.81,0
2026-01-29,747.42,0
2025-06-18,546.04,0
