CustomerID,Age,Gender,CityTier,AnnualIncome,MembershipYears,RecencyDays,Frequency,AvgOrderValue,TotalSpend,PreferredCategory,DiscountSensitivity,OnlineEngagementScore,CartAbandonRate,ReturnsRate,SupportTickets,ChurnRisk
CUST100017,38,Male,Tier 3,37819,3.1,11,10,64.33,721.71,Sports,0.4,59.1,0.22,0.46,0,Low
CUST100018,25,Female,Tier 2,64522,1.8,50,4,81.96,370.2,Groceries,0.18,62.8,0.28,0.12,1,Medium
CUST100019,19,Male,Tier 1,58782,0.7,73,4,63.61,284.62,Beauty,0.67,31.3,0.33,0.08,0,Medium
CUST100020,51,Female,Tier 2,81641,1.4,37,6,66.28,354.54,Fashion,0.15,33.4,0.2,0.38,2,Low
CUST100021,32,Male,Tier 2,20509,0.9,60,7,34.08,263.61,Fashion,0.44,53.7,0.61,0.12,1,Low
CUST100022,35,Female,Tier 1,68216,1.9,48,9,73.31,748.54,Beauty,0.1,45.8,0.64,0.09,1,Low
CUST100023,19,Male,Tier 1,52749,4.8,19,8,79.69,610.98,Fashion,0.76,47.2,0.17,0.08,1,Low
CUST100024,29,Female,Tier 3,60380,1.9,74,7,74.96,527.66,Groceries,0.36,63.5,0.22,0.35,0,Medium
CUST100025,36,Female,Tier 2,68860,2.2,15,4,101.57,440.3,Fashion,0.13,67.0,0.34,0.27,2,Medium
CUST100026,22,Male,Tier 2,42062,1.6,38,6,73.01,446.22,Groceries,0.1,67.7,0.3,0.22,2,Low
CUST100027,39,Male,Tier 1,58780,0.1,61,4,62.14,285.36,Sports,0.62,65.2,0.24,0.46,0,Medium
CUST100028,28,Male,Tier 1,65208,0.6,21,3,47.41,140.34,Electronics,0.28,68.8,0.37,0.12,0,Medium
CUST100029,31,Female,Tier 1,52260,1.5,16,9,84.33,807.68,Beauty,0.04,40.9,0.57,0.36,0,Low
CUST100030,28,Female,Tier 1,82355,0.8,27,6,109.02,711.54,Electronics,0.34,64.7,0.26,0.21,1,Low
CUST100031,55,Female,Tier 1,71354,0.4,76,5,58.97,294.33,Fashion,0.88,46.0,0.29,0.1,0,Medium
CUST100032,34,Male,Tier 1,17274,1.5,119,8,57.03,505.1,Electronics,0.26,45.1,0.6,0.11,0,Medium
CUST100033,23,Male,Tier 3,43453,0.9,35,5,61.94,313.99,Home & Furniture,0.86,63.2,0.3,0.4,1,Medium
CUST100034,44,Female,Tier 3,39906,0.7,48,7,55.67,379.36,Electronics,0.72,38.4,0.57,0.06,0,Low
CUST100035,21,Male,Tier 2,25037,1.4,105,6,65.09,344.59,Groceries,0.53,30.5,0.23,0.25,0,Medium
CUST100036,37,Female,Tier 3,33526,0.3,4,3,68.11,197.8,Fashion,0.2,63.2,0.31,0.02,0,Medium
CUST100037,18,Male,Tier 1,65169,5.8,11,13,84.08,1169.75,Electronics,0.54,80.8,0.44,0.34,0,Low
CUST100038,20,Female,Tier 3,72915,4.4,55,1,87.86,98.96,Home & Furniture,0.35,48.1,0.19,0.05,0,Medium
CUST100039,37,Male,Tier 1,76437,2.7,78,11,92.94,946.18,Electronics,0.4,53.6,0.39,0.1,0,Medium
CUST100040,43,Male,Tier 3,47282,0.2,87,4,53.4,204.32,Fashion,0.24,58.2,0.59,0.1,2,Medium
CUST100041,36,Female,Tier 3,63606,3.3,24,6,72.18,388.12,Fashion,0.27,67.8,0.22,0.04,1,Low
CUST100042,33,Female,Tier 2,50936,3.6,4,10,48.91,517.08,Groceries,0.46,70.6,0.17,0.12,1,Low
CUST100043,31,Female,Tier 3,40897,3.2,25,6,49.09,335.2,Groceries,0.45,45.4,0.47,0.32,0,Low
CUST100044,18,Male,Tier 2,32421,0.3,11,5,41.52,216.38,Electronics,0.06,53.8,0.25,0.14,1,Medium
CUST100045,27,Male,Tier 1,35267,2.3,15,4,39.86,165.04,Fashion,0.61,66.6,0.21,0.14,0,Medium
CUST100046,29,Female,Tier 1,60581,4.0,66,2,72.54,147.41,Fashion,0.33,63.3,0.34,0.14,0,Medium
CUST100047,46,Female,Tier 2,67244,1.9,3,8,71.18,499.14,Fashion,0.22,61.8,0.14,0.05,1,Low
CUST100048,38,Male,Tier 1,69460,2.3,79,7,85.42,639.11,Beauty,0.65,53.1,0.41,0.01,0,Medium
CUST100049,18,Male,Tier 2,45712,1.3,25,6,33.76,208.76,Home & Furniture,0.35,57.6,0.43,0.13,2,Low
CUST100050,38,Male,Tier 3,39176,1.7,40,2,50.95,106.84,Groceries,0.32,53.3,0.11,0.17,0,Medium
CUST100051,30,Female,Tier 1,78948,0.1,4,2,87.76,196.52,Fashion,0.51,46.6,0.22,0.21,1,Medium
CUST100052,27,Male,Tier 2,33091,2.2,18,8,42.92,372.61,Home & Furniture,0.3,29.5,0.15,0.05,1,Low
CUST100053,41,Male,Tier 3,71368,0.2,4,4,76.89,333.48,Beauty,0.06,71.9,0.47,0.18,0,Medium
CUST100054,46,Male,Tier 3,41360,1.3,146,4,30.69,138.49,Groceries,0.18,64.9,0.3,0.04,0,Medium
CUST100055,45,Male,Tier 3,45456,0.8,74,7,63.23,507.67,Home & Furniture,0.65,49.3,0.42,0.02,0,Medium
CUST100056,25,Male,Tier 2,29597,1.7,27,4,54.38,222.82,Home & Furniture,0.14,42.5,0.43,0.24,1,Medium
CUST100057,31,Male,Tier 3,44374,0.3,11,7,64.38,397.78,Groceries,0.52,61.3,0.08,0.23,0,Low
CUST100058,38,Male,Tier 2,78755,2.6,121,9,101.21,899.72,Fashion,0.49,53.6,0.64,0.02,0,Medium
CUST100059,45,Female,Tier 1,83281,3.5,19,4,92.42,401.58,Home & Furniture,0.56,68.0,0.2,0.13,0,Medium
CUST100060,29,Male,Tier 2,75211,0.4,7,4,89.86,308.51,Electronics,0.36,58.0,0.47,0.16,0,Medium
CUST100061,32,Female,Tier 2,68198,0.2,37,6,79.17,411.87,Home & Furniture,0.17,48.8,0.52,0.15,0,Low
CUST100062,22,Female,Tier 1,44933,0.3,129,7,67.76,412.73,Beauty,0.31,35.3,0.09,0.25,1,Medium
CUST100063,21,Female,Tier 2,48445,4.6,1,9,36.71,353.29,Beauty,0.33,78.3,0.47,0.02,0,Low
CUST100064,43,Female,Tier 2,49156,1.7,12,5,47.56,237.88,Groceries,0.71,66.0,0.27,0.03,2,Medium
CUST100065,49,Male,Tier 1,99550,1.4,125,3,126.76,365.32,Electronics,0.58,56.2,0.37,0.04,0,Medium
CUST100066,34,Male,Tier 2,38057,0.2,8,4,14.81,52.23,Electronics,0.2,45.6,0.28,0.1,0,Medium
CUST100067,46,Female,Tier 2,80486,2.3,5,9,84.97,818.01,Home & Furniture,0.54,89.6,0.12,0.06,1,Low
CUST100068,38,Female,Tier 2,77273,4.5,37,14,101.98,1351.06,Beauty,0.09,53.4,0.43,0.15,2,Low
CUST100069,27,Female,Tier 1,99733,3.9,89,13,101.71,1229.14,Groceries,0.43,75.6,0.57,0.0,2,Medium
CUST100070,38,Female,Tier 1,63825,2.2,29,6,67.11,421.06,Electronics,0.39,36.2,0.3,0.01,0,Low
CUST100071,51,Female,Tier 1,89221,0.2,234,3,96.29,293.98,Sports,0.2,23.1,0.06,0.25,0,Medium
CUST100072,34,Male,Tier 3,95669,0.3,51,7,94.43,633.73,Sports,0.1,77.6,0.24,0.15,0,Low
CUST100073,52,Male,Tier 1,65682,0.1,3,5,75.2,391.96,Fashion,0.18,69.7,0.44,0.06,0,Medium
CUST100074,18,Female,Tier 2,25569,0.7,222,4,31.06,115.71,Groceries,0.19,29.2,0.51,0.07,3,Medium
CUST100075,44,Female,Tier 1,39759,0.3,23,7,69.76,531.51,Home & Furniture,0.17,55.5,0.24,0.35,0,Low
CUST100076,35,Male,Tier 1,82828,0.7,15,10,110.37,1014.07,Home & Furniture,0.52,69.7,0.17,0.12,1,Low
CUST100077,31,Female,Tier 3,19503,1.1,36,5,34.25,153.72,Sports,0.06,62.6,0.38,0.1,0,Medium
CUST100078,36,Male,Tier 2,53698,6.3,16,8,43.95,381.39,Electronics,0.64,79.4,0.5,0.22,1,Low
CUST100079,18,Female,Tier 1,71071,2.1,4,6,71.37,454.93,Groceries,0.17,56.1,0.56,0.04,0,Low
CUST100080,32,Male,Tier 1,72133,4.0,1,7,77.35,489.9,Home & Furniture,0.46,44.6,0.44,0.12,0,Low
CUST100081,38,Male,Tier 1,78858,2.7,26,5,93.3,412.79,Beauty,0.52,59.3,0.3,0.12,1,Medium
CUST100082,51,Female,Tier 2,70401,0.3,81,5,63.55,350.01,Beauty,0.63,46.4,0.17,0.16,0,Medium
CUST100083,29,Male,Tier 2,80619,2.9,38,5,75.65,409.64,Sports,0.53,40.6,0.13,0.37,1,Medium
CUST100084,26,Female,Tier 1,49258,0.7,321,6,68.71,390.9,Groceries,0.24,33.5,0.38,0.01,0,Medium
CUST100085,29,Female,Tier 1,55414,2.2,15,8,80.26,672.55,Beauty,0.21,61.9,0.24,0.14,1,Low
CUST100086,45,Female,Tier 1,60092,0.9,14,9,60.75,485.1,Fashion,0.52,70.3,0.54,0.06,0,Low
CUST100087,38,Male,Tier 3,71143,12.0,7,15,59.29,891.23,Fashion,0.57,68.6,0.45,0.07,1,Low
CUST100088,29,Male,Tier 3,68807,0.7,8,4,126.6,433.29,Fashion,0.37,63.0,0.19,0.26,1,Medium
CUST100089,40,Male,Tier 1,80122,0.7,15,5,98.52,476.58,Beauty,0.16,42.7,0.56,0.14,0,Medium
CUST100090,36,Female,Tier 2,81702,5.9,70,18,84.08,1320.41,Sports,0.37,69.1,0.45,0.05,0,Medium
CUST100091,45,Female,Tier 1,52795,0.1,106,3,77.03,229.37,Fashion,0.46,42.5,0.39,0.11,0,Medium
CUST100092,27,Female,Tier 1,96810,2.6,166,9,98.81,868.4,Electronics,0.15,72.3,0.38,0.02,0,Medium
CUST100093,31,Female,Tier 2,85818,2.8,11,7,104.52,719.43,Beauty,0.46,72.3,0.62,0.03,0,Low
CUST100094,30,Female,Tier 3,66241,4.0,95,13,77.59,871.09,Groceries,0.27,79.4,0.33,0.03,0,Medium
CUST100095,18,Female,Tier 3,80272,8.1,17,13,88.26,1099.75,Sports,0.25,91.3,0.27,0.17,1,Low
CUST100096,38,Male,Tier 2,31380,8.2,5,12,44.45,574.44,Fashion,0.42,100.0,0.31,0.14,0,Low
CUST100097,37,Female,Tier 1,61359,0.1,91,2,49.42,94.95,Electronics,0.62,45.4,0.5,0.3,1,Medium
CUST100098,35,Male,Tier 2,46764,3.8,45,8,88.04,749.78,Groceries,0.54,78.5,0.32,0.07,2,Low
CUST100099,32,Female,Tier 1,81786,2.3,8,12,74.03,853.58,Electronics,0.5,85.4,0.33,0.21,0,Low
CUST100100,19,Female,Tier 2,34697,2.3,25,6,28.51,167.12,Fashion,0.9,71.5,0.18,0.03,2,Low
CUST100101,30,Female,Tier 1,81634,0.3,15,11,84.84,951.13,Electronics,0.63,91.8,0.12,0.21,1,Low
CUST100102,31,Male,Tier 2,83069,2.3,60,6,74.8,509.48,Fashion,0.42,51.0,0.22,0.29,1,Low
CUST100103,26,Male,Tier 1,78913,8.9,27,17,84.99,1275.29,Electronics,0.31,75.3,0.2,0.1,1,Low
CUST100104,33,Male,Tier 1,74307,5.3,204,9,92.24,713.83,Sports,0.57,51.4,0.48,0.03,0,Medium
CUST100105,39,Male,Tier 3,38818,1.3,2,8,67.28,555.67,Fashion,0.51,63.6,0.19,0.04,1,Low
CUST100106,55,Male,Tier 1,62756,0.1,19,2,84.52,191.81,Fashion,0.13,55.9,0.23,0.04,2,Medium
CUST100107,36,Female,Tier 2,82893,1.0,29,11,84.49,1065.93,Beauty,0.31,87.9,0.45,0.14,0,Low
CUST100108,37,Female,Tier 1,84828,3.9,31,13,91.43,1182.94,Home & Furniture,0.13,67.2,0.29,0.35,0,Low
CUST100109,34,Male,Tier 1,68897,2.7,17,3,83.53,248.19,Groceries,0.16,50.6,0.18,0.02,0,Medium
CUST100110,18,Male,Tier 1,55677,1.4,58,4,40.03,167.08,Home & Furniture,0.24,54.3,0.06,0.16,0,Medium
CUST100111,34,Male,Tier 1,33135,0.1,93,5,56.17,285.54,Beauty,0.3,48.0,0.31,0.04,1,Medium
CUST100112,35,Female,Tier 3,35724,1.2,125,8,27.91,232.26,Beauty,0.27,30.5,0.42,0.13,0,Medium
CUST100113,62,Male,Tier 1,115205,1.4,73,6,146.61,978.36,Groceries,0.26,47.7,0.47,0.13,0,Medium
CUST100114,32,Female,Tier 3,30751,5.8,85,7,39.56,297.38,Beauty,0.43,63.7,0.59,0.14,0,Medium
CUST100115,38,Male,Tier 2,64610,2.3,35,7,71.07,497.02,Groceries,0.39,77.8,0.44,0.16,0,Low
CUST100116,34,Female,Tier 1,87733,0.8,78,5,81.57,403.18,Fashion,0.68,38.3,0.55,0.17,0,Medium
CUST100117,22,Female,Tier 2,32211,1.6,16,6,37.39,233.74,Beauty,0.52,46.5,0.16,0.24,0,Low
CUST100118,47,Male,Tier 2,68124,0.2,22,2,110.88,218.81,Groceries,0.45,52.2,0.67,0.2,0,Medium
CUST100119,43,Female,Tier 2,80082,7.9,17,12,100.84,1194.75,Beauty,0.61,47.4,0.49,0.14,1,Low
CUST100120,43,Male,Tier 1,73424,1.0,28,3,57.95,148.62,Electronics,0.18,47.9,0.44,0.26,1,Medium
CUST100121,24,Female,Tier 1,117231,1.4,15,6,140.26,759.27,Fashion,0.52,39.7,0.36,0.23,0,Low
CUST100122,50,Male,Tier 3,30965,1.0,146,4,63.7,253.92,Sports,0.25,59.8,0.19,0.15,1,Medium
CUST100123,19,Female,Tier 3,67657,2.5,16,6,72.16,474.87,Fashion,0.64,51.2,0.19,0.17,0,Low
CUST100124,41,Female,Tier 3,54289,2.4,4,8,69.84,521.63,Sports,0.45,85.4,0.18,0.12,0,Low
CUST100125,59,Female,Tier 1,93494,2.8,33,14,97.69,1376.95,Sports,0.24,88.1,0.34,0.39,1,Low
CUST100126,24,Female,Tier 2,63543,0.7,2,6,102.54,586.62,Beauty,0.7,54.0,0.39,0.13,0,Low
CUST100127,28,Male,Tier 2,44003,0.8,5,6,44.72,236.51,Groceries,0.52,48.6,0.56,0.06,0,Low
CUST100128,36,Male,Tier 2,64521,0.3,11,4,75.96,345.61,Groceries,0.33,54.6,0.42,0.1,0,Medium
CUST100129,29,Male,Tier 1,34157,2.3,28,4,42.04,186.05,Beauty,0.84,53.9,0.58,0.26,2,Medium
CUST100130,18,Male,Tier 2,64058,0.1,25,2,51.89,90.66,Home & Furniture,0.73,55.7,0.27,0.16,0,Medium
CUST100131,35,Female,Tier 1,75366,2.0,72,6,115.68,739.84,Groceries,0.37,45.5,0.35,0.03,2,Medium
CUST100132,23,Male,Tier 1,76695,4.5,60,9,66.19,568.47,Sports,0.06,71.0,0.65,0.16,0,Low
CUST100133,40,Female,Tier 3,76046,4.9,25,9,86.67,895.83,Home & Furniture,0.32,68.7,0.13,0.06,0,Low
CUST100134,24,Female,Tier 1,72217,1.3,18,5,54.07,254.32,Sports,0.53,54.1,0.22,0.42,1,Medium
CUST100135,52,Female,Tier 1,79465,1.4,17,8,80.23,591.53,Electronics,0.29,55.8,0.63,0.02,1,Low
CUST100136,26,Male,Tier 1,50540,0.2,66,4,68.45,279.38,Electronics,0.18,49.2,0.4,0.06,0,Medium
CUST100137,31,Female,Tier 3,40580,2.4,2,5,41.45,228.09,Fashion,0.43,50.0,0.6,0.26,1,Medium
CUST100138,43,Female,Tier 2,84561,3.8,1,11,99.27,991.24,Fashion,0.26,72.6,0.21,0.19,4,Low
CUST100139,21,Male,Tier 1,90254,0.6,71,2,91.18,193.82,Home & Furniture,0.55,47.9,0.15,0.17,1,Medium
CUST100140,37,Female,Tier 3,51514,1.2,29,8,80.33,558.08,Electronics,0.08,66.2,0.21,0.06,0,Low
CUST100141,49,Female,Tier 3,61428,4.0,6,7,91.62,721.94,Sports,0.68,84.6,0.64,0.18,0,Low
CUST100142,18,Male,Tier 1,46916,4.6,12,9,50.3,395.81,Fashion,0.59,65.2,0.65,0.03,1,Low
CUST100143,37,Male,Tier 2,81909,0.6,121,6,89.41,603.13,Fashion,0.1,62.0,0.22,0.2,1,Medium
CUST100144,37,Male,Tier 2,72777,1.8,88,7,83.4,582.19,Fashion,0.19,58.0,0.53,0.08,0,Medium
CUST100145,43,Male,Tier 2,98141,0.5,55,4,111.07,437.36,Groceries,0.33,49.6,0.51,0.18,0,Medium
CUST100146,21,Male,Tier 1,48590,0.2,29,6,60.71,415.98,Electronics,0.67,57.7,0.4,0.36,2,Low
CUST100147,20,Male,Tier 3,42195,5.3,33,8,58.02,532.45,Electronics,0.25,62.0,0.2,0.08,1,Low
CUST100148,40,Male,Tier 2,66166,3.8,166,7,71.49,522.98,Home & Furniture,0.38,50.8,0.36,0.02,1,Medium
CUST100149,38,Male,Tier 1,82836,3.1,151,7,90.76,564.25,Electronics,0.56,37.4,0.09,0.04,0,Medium
CUST100150,37,Female,Tier 1,66917,0.1,10,4,95.23,381.63,Fashion,0.43,39.4,0.25,0.05,0,Medium
CUST100151,38,Female,Tier 1,55486,4.1,74,11,75.93,842.54,Beauty,0.33,72.5,0.31,0.22,0,Medium
CUST100152,27,Female,Tier 1,82665,1.3,9,8,99.41,798.73,Electronics,0.19,75.9,0.12,0.08,0,Low
CUST100153,37,Male,Tier 2,73780,0.9,10,5,92.33,471.27,Fashion,0.52,67.9,0.25,0.01,0,Medium
CUST100154,38,Male,Tier 1,54707,1.7,50,6,63.28,324.86,Electronics,0.71,58.9,0.22,0.03,0,Low
CUST100155,27,Male,Tier 1,91197,0.2,23,6,100.78,643.0,Fashion,0.52,68.9,0.18,0.03,1,Low
CUST100156,55,Male,Tier 2,89063,3.1,120,12,77.94,994.87,Home & Furniture,0.35,70.6,0.58,0.05,1,Medium
CUST100157,40,Male,Tier 1,74417,1.9,4,3,101.05,268.18,Electronics,0.49,65.1,0.58,0.13,3,Medium
CUST100158,21,Female,Tier 3,50832,0.5,32,7,20.62,147.38,Beauty,0.35,50.5,0.26,0.16,1,Low
CUST100159,42,Male,Tier 1,82773,0.5,112,2,87.67,178.94,Beauty,0.53,29.6,0.33,0.09,1,Medium
CUST100160,24,Female,Tier 1,50089,0.4,105,5,78.85,415.83,Electronics,0.46,44.8,0.38,0.28,1,Medium
CUST100161,43,Female,Tier 1,73740,0.1,7,3,60.99,160.21,Sports,0.44,55.1,0.27,0.38,0,Medium
CUST100162,47,Male,Tier 1,36057,1.9,20,9,56.04,523.5,Fashion,0.33,63.1,0.23,0.03,2,Low
CUST100163,25,Male,Tier 1,81776,4.0,43,7,77.94,509.69,Electronics,0.41,37.2,0.29,0.13,1,Low
CUST100164,45,Female,Tier 2,35893,0.0,7,4,44.38,177.89,Electronics,0.24,78.0,0.06,0.09,2,Medium
CUST100165,39,Male,Tier 3,83661,0.1,154,8,103.91,899.44,Fashion,0.47,47.3,0.29,0.07,0,Medium
CUST100166,44,Male,Tier 1,67657,1.9,110,6,79.35,505.47,Groceries,0.33,53.1,0.37,0.19,0,Medium
CUST100167,55,Female,Tier 2,64189,3.8,8,3,42.98,114.2,Fashion,0.31,70.1,0.17,0.26,0,Medium
CUST100168,32,Male,Tier 2,47500,0.9,5,4,44.94,184.68,Beauty,0.89,29.4,0.28,0.1,1,Medium
CUST100169,26,Female,Tier 3,46215,0.9,4,5,73.14,417.17,Home & Furniture,0.06,53.5,0.3,0.05,1,Medium
CUST100170,25,Female,Tier 1,91533,2.0,108,11,103.01,1016.43,Fashion,0.48,56.6,0.58,0.07,0,Medium
CUST100171,26,Male,Tier 1,21619,0.7,9,3,64.24,213.12,Home & Furniture,0.11,51.1,0.25,0.19,0,Medium
CUST100172,34,Male,Tier 1,92585,0.1,24,3,122.39,389.48,Sports,0.37,51.5,0.3,0.16,1,Medium
CUST100173,38,Male,Tier 2,67284,2.9,26,9,70.94,690.94,Electronics,0.56,82.8,0.18,0.16,1,Low
CUST100174,38,Male,Tier 3,34473,2.2,41,8,86.28,645.09,Fashion,0.18,70.0,0.28,0.19,1,Low
CUST100175,44,Male,Tier 1,54244,1.9,3,4,65.57,245.59,Fashion,0.09,69.2,0.33,0.15,1,Medium
CUST100176,35,Female,Tier 1,100175,3.0,11,12,89.04,1198.63,Groceries,0.5,73.5,0.3,0.08,1,Low
CUST100177,50,Male,Tier 3,43980,2.5,120,6,47.15,271.0,Groceries,0.21,33.2,0.08,0.2,0,Medium
CUST100178,32,Male,Tier 3,33039,0.5,107,5,13.68,59.43,Fashion,0.17,24.3,0.3,0.31,0,Medium
CUST100179,64,Female,Tier 3,87071,1.0,68,7,116.66,841.26,Groceries,0.3,38.8,0.18,0.03,1,Medium
CUST100180,41,Female,Tier 2,68493,0.3,1,6,101.0,537.79,Groceries,0.81,66.2,0.1,0.2,1,Low
CUST100181,25,Female,Tier 1,49117,0.3,17,9,45.7,447.9,Groceries,0.32,66.7,0.17,0.05,0,Low
CUST100182,23,Male,Tier 2,59099,2.5,44,12,65.83,823.55,Electronics,0.28,67.1,0.45,0.05,1,Low
CUST100183,40,Female,Tier 2,43536,4.3,14,11,57.71,706.17,Groceries,0.29,66.2,0.18,0.11,2,Low
CUST100184,32,Female,Tier 1,88614,7.2,108,12,79.44,1034.74,Fashion,0.16,87.3,0.36,0.04,1,Medium
CUST100185,42,Male,Tier 2,81904,2.2,45,5,61.93,273.62,Groceries,0.29,45.6,0.29,0.25,1,Medium
CUST100186,40,Male,Tier 2,71576,0.4,3,11,76.49,811.37,Sports,0.67,82.8,0.31,0.15,0,Low
CUST100187,34,Female,Tier 1,76109,0.2,107,4,78.61,340.34,Groceries,0.18,47.3,0.18,0.21,1,Medium
CUST100188,25,Male,Tier 2,87701,3.7,142,6,87.26,510.58,Electronics,0.19,47.1,0.53,0.23,1,Medium
CUST100189,18,Male,Tier 2,53194,1.9,3,7,67.67,540.82,Fashion,0.2,77.8,0.59,0.06,0,Low
CUST100190,30,Male,Tier 3,31726,2.1,34,7,67.88,508.76,Beauty,0.14,78.2,0.32,0.13,0,Low
CUST100191,44,Male,Tier 1,81690,3.3,16,16,83.53,1142.22,Home & Furniture,0.66,77.5,0.37,0.13,0,Low
CUST100192,37,Female,Tier 1,108348,2.7,22,6,112.85,754.29,Groceries,0.58,69.4,0.17,0.04,1,Low
CUST100193,21,Female,Tier 2,36134,4.0,8,11,61.01,590.74,Fashion,0.36,75.6,0.3,0.11,0,Low
CUST100194,36,Female,Tier 1,63893,0.1,38,4,81.56,291.06,Fashion,0.63,54.3,0.33,0.08,0,Medium
CUST100195,39,Male,Tier 2,69096,3.0,142,11,68.36,804.86,Groceries,0.25,60.3,0.16,0.18,0,Medium
CUST100196,25,Male,Tier 2,55029,4.2,31,7,67.3,522.68,Sports,0.31,52.6,0.62,0.09,0,Low
CUST100197,36,Male,Tier 1,52718,0.7,3,4,72.14,291.71,Groceries,0.47,54.0,0.37,0.15,2,Medium
CUST100198,35,Male,Tier 2,80193,2.3,43,6,69.9,392.86,Home & Furniture,0.35,50.7,0.39,0.07,2,Low
CUST100199,22,Male,Tier 2,96560,0.8,18,7,119.42,798.65,Groceries,0.56,73.0,0.33,0.18,0,Low
CUST100200,38,Female,Tier 1,74730,7.0,87,13,103.75,1285.18,Fashion,0.63,66.2,0.43,0.14,2,Medium
CUST100201,41,Male,Tier 3,41126,0.1,25,4,43.43,164.69,Beauty,0.12,39.9,0.22,0.25,2,Medium
CUST100202,46,Female,Tier 3,31518,1.9,9,9,49.17,408.4,Groceries,0.7,58.4,0.46,0.2,0,Low
CUST100203,46,Male,Tier 2,69043,0.4,9,9,87.17,810.15,Sports,0.4,28.7,0.2,0.22,2,Low
CUST100204,19,Male,Tier 2,73469,2.7,65,6,73.04,490.88,Fashion,0.26,49.6,0.47,0.25,2,Medium
CUST100205,24,Male,Tier 2,64153,0.4,13,4,80.69,304.08,Electronics,0.35,57.2,0.24,0.42,1,Medium
CUST100206,40,Female,Tier 3,56956,0.6,65,8,69.91,506.71,Home & Furniture,0.49,57.9,0.41,0.06,2,Medium
CUST100207,40,Female,Tier 2,51393,1.5,10,9,40.81,404.6,Electronics,0.26,90.8,0.31,0.15,0,Low
CUST100208,40,Female,Tier 2,42341,5.4,17,15,62.17,1000.19,Fashion,0.53,85.2,0.18,0.13,2,Low
CUST100209,70,Male,Tier 3,84025,0.5,28,5,73.52,415.11,Fashion,0.3,63.6,0.57,0.14,1,Medium
CUST100210,41,Male,Tier 1,88847,0.3,129,6,108.13,583.68,Home & Furniture,0.79,29.4,0.32,0.21,0,Medium
CUST100211,47,Female,Tier 3,31976,3.1,120,8,36.58,261.41,Groceries,0.23,49.6,0.32,0.07,2,Medium
CUST100212,45,Male,Tier 1,102617,1.5,10,7,103.09,730.6,Electronics,0.35,57.2,0.45,0.08,0,Low
CUST100213,42,Female,Tier 1,83133,5.3,19,9,109.86,1022.68,Groceries,0.66,56.7,0.52,0.01,0,Low
CUST100214,31,Male,Tier 1,93592,0.3,7,9,105.44,943.32,Fashion,0.61,57.7,0.54,0.17,1,Low
CUST100215,43,Male,Tier 3,34041,2.3,32,3,32.18,99.41,Sports,0.34,31.1,0.22,0.04,0,Medium
CUST100216,26,Male,Tier 3,26815,0.6,27,2,27.12,49.04,Groceries,0.74,36.0,0.25,0.07,1,Medium
CUST100217,32,Male,Tier 2,56118,0.4,103,4,57.78,229.71,Home & Furniture,0.11,58.2,0.26,0.03,0,Medium
