CustomerID,Age,Gender,CityTier,AnnualIncome,MembershipYears,RecencyDays,Frequency,AvgOrderValue,TotalSpend,PreferredCategory,DiscountSensitivity,OnlineEngagementScore,CartAbandonRate,ReturnsRate,SupportTickets,ChurnRisk,Segment,PC1,PC2,SegmentName
CUST100039,37,Male,Tier 1,76437,2.7,78,11,92.94,946.18,Electronics,0.4,53.6,0.39,0.1,0,Medium,2,1.6357817231116512,0.7651787962638422,Champions (High-Value Loyal)
CUST100040,43,Male,Tier 3,47282,0.2,87,4,53.4,204.32,Fashion,0.24,58.2,0.59,0.1,2,Medium,3,-1.879117139089847,-0.2792552172602731,Budget-Conscious / New
CUST100041,36,Female,Tier 3,63606,3.3,24,6,72.18,388.12,Fashion,0.27,67.8,0.22,0.04,1,Low,1,0.1048950432256693,-0.36465361278377,Mainstream Regulars
CUST100042,33,Female,Tier 2,50936,3.6,4,10,48.91,517.08,Groceries,0.46,70.6,0.17,0.12,1,Low,3,0.5246774861601977,-1.8017363557054769,Budget-Conscious / New
CUST100043,31,Female,Tier 3,40897,3.2,25,6,49.09,335.2,Groceries,0.45,45.4,0.47,0.32,0,Low,3,-1.1872308311558697,-1.148291413743714,Budget-Conscious / New
CUST100044,18,Male,Tier 2,32421,0.3,11,5,41.52,216.38,Electronics,0.06,53.8,0.25,0.14,1,Medium,3,-2.031654155490116,-1.2580938882361672,Budget-Conscious / New
CUST100045,27,Male,Tier 1,35267,2.3,15,4,39.86,165.04,Fashion,0.61,66.6,0.21,0.14,0,Medium,3,-1.5945126726671,-1.7154500232811818,Budget-Conscious / New
CUST100046,29,Female,Tier 1,60581,4.0,66,2,72.54,147.41,Fashion,0.33,63.3,0.34,0.14,0,Medium,3,-0.962257807184906,-0.0429204560492029,Budget-Conscious / New
CUST100047,46,Female,Tier 2,67244,1.9,3,8,71.18,499.14,Fashion,0.22,61.8,0.14,0.05,1,Low,1,0.2713008030295035,-0.1505589190300109,Mainstream Regulars
CUST100048,38,Male,Tier 1,69460,2.3,79,7,85.42,639.11,Beauty,0.65,53.1,0.41,0.01,0,Medium,1,0.2852231992281949,0.7319751493044092,Mainstream Regulars
CUST100049,18,Male,Tier 2,45712,1.3,25,6,33.76,208.76,Home & Furniture,0.35,57.6,0.43,0.13,2,Low,3,-1.5660610633342822,-1.3565071960740422,Budget-Conscious / New
CUST100050,38,Male,Tier 3,39176,1.7,40,2,50.95,106.84,Groceries,0.32,53.3,0.11,0.17,0,Medium,3,-2.227922825203712,-0.720700110192136,Budget-Conscious / New
CUST100051,30,Female,Tier 1,78948,0.1,4,2,87.76,196.52,Fashion,0.51,46.6,0.22,0.21,1,Medium,1,-1.3219632223197346,1.657653654962291,Mainstream Regulars
CUST100052,27,Male,Tier 2,33091,2.2,18,8,42.92,372.61,Home & Furniture,0.3,29.5,0.15,0.05,1,Low,3,-1.5820898713304166,-1.2303166096884195,Budget-Conscious / New
CUST100053,41,Male,Tier 3,71368,0.2,4,4,76.89,333.48,Beauty,0.06,71.9,0.47,0.18,0,Medium,1,-0.4766003686441575,0.49816452168575,Mainstream Regulars
CUST100054,46,Male,Tier 3,41360,1.3,146,4,30.69,138.49,Groceries,0.18,64.9,0.3,0.04,0,Medium,0,-2.161965341150049,-1.1694232143526186,At-Risk / Dormant
CUST100055,45,Male,Tier 3,45456,0.8,74,7,63.23,507.67,Home & Furniture,0.65,49.3,0.42,0.02,0,Medium,3,-0.9403049412372588,-0.2394273433313151,Budget-Conscious / New
CUST100056,25,Male,Tier 2,29597,1.7,27,4,54.38,222.82,Home & Furniture,0.14,42.5,0.43,0.24,1,Medium,3,-2.089848161810764,-0.8789034565158447,Budget-Conscious / New
CUST100057,31,Male,Tier 3,44374,0.3,11,7,64.38,397.78,Groceries,0.52,61.3,0.08,0.23,0,Low,3,-0.791476042686073,-0.6156281400442821,Budget-Conscious / New
CUST100058,38,Male,Tier 2,78755,2.6,121,9,101.21,899.72,Fashion,0.49,53.6,0.64,0.02,0,Medium,0,1.3167174252084253,1.3535946347284908,At-Risk / Dormant
CUST100059,45,Female,Tier 1,83281,3.5,19,4,92.42,401.58,Home & Furniture,0.56,68.0,0.2,0.13,0,Medium,1,0.4776808203773,0.8324878062615602,Mainstream Regulars
CUST100060,29,Male,Tier 2,75211,0.4,7,4,89.86,308.51,Electronics,0.36,58.0,0.47,0.16,0,Medium,1,-0.5810517191843474,1.1901929049993467,Mainstream Regulars
CUST100061,32,Female,Tier 2,68198,0.2,37,6,79.17,411.87,Home & Furniture,0.17,48.8,0.52,0.15,0,Low,1,-0.7009650149686023,0.8780615244143055,Mainstream Regulars
CUST100062,22,Female,Tier 1,44933,0.3,129,7,67.76,412.73,Beauty,0.31,35.3,0.09,0.25,1,Medium,0,-1.577001178205717,0.380477510959176,At-Risk / Dormant
CUST100063,21,Female,Tier 2,48445,4.6,1,9,36.71,353.29,Beauty,0.33,78.3,0.47,0.02,0,Low,3,0.2771269328511433,-2.457123399788441,Budget-Conscious / New
CUST100064,43,Female,Tier 2,49156,1.7,12,5,47.56,237.88,Groceries,0.71,66.0,0.27,0.03,2,Medium,3,-1.1269659925395494,-1.0907181338424392,Budget-Conscious / New
CUST100065,49,Male,Tier 1,99550,1.4,125,3,126.76,365.32,Electronics,0.58,56.2,0.37,0.04,0,Medium,1,0.119398752910352,3.168628575130553,Mainstream Regulars
CUST100066,34,Male,Tier 2,38057,0.2,8,4,14.81,52.23,Electronics,0.2,45.6,0.28,0.1,0,Medium,3,-2.9048503939880645,-1.5551808349171594,Budget-Conscious / New
CUST100067,46,Female,Tier 2,80486,2.3,5,9,84.97,818.01,Home & Furniture,0.54,89.6,0.12,0.06,1,Low,2,2.0359441703440577,-0.0617174189690016,Champions (High-Value Loyal)
CUST100068,38,Female,Tier 2,77273,4.5,37,14,101.98,1351.06,Beauty,0.09,53.4,0.43,0.15,2,Low,2,3.244419925580194,0.4193941620776438,Champions (High-Value Loyal)
CUST100069,27,Female,Tier 1,99733,3.9,89,13,101.71,1229.14,Groceries,0.43,75.6,0.57,0.0,2,Medium,2,3.55727501069217,0.9369850438505408,Champions (High-Value Loyal)
CUST100070,38,Female,Tier 1,63825,2.2,29,6,67.11,421.06,Electronics,0.39,36.2,0.3,0.01,0,Low,1,-0.8433312107446749,0.3438667602786565,Mainstream Regulars
CUST100071,51,Female,Tier 1,89221,0.2,234,3,96.29,293.98,Sports,0.2,23.1,0.06,0.25,0,Medium,0,-1.7808732072384588,3.281523180522589,At-Risk / Dormant
CUST100072,34,Male,Tier 3,95669,0.3,51,7,94.43,633.73,Sports,0.1,77.6,0.24,0.15,0,Low,1,1.094383939458506,1.4624004330165743,Mainstream Regulars
CUST100073,52,Male,Tier 1,65682,0.1,3,5,75.2,391.96,Fashion,0.18,69.7,0.44,0.06,0,Medium,1,-0.4207139423447826,0.2761619431758526,Mainstream Regulars
CUST100074,18,Female,Tier 2,25569,0.7,222,4,31.06,115.71,Groceries,0.19,29.2,0.51,0.07,3,Medium,0,-3.545906521627612,-0.5651462171848273,At-Risk / Dormant
CUST100075,44,Female,Tier 1,39759,0.3,23,7,69.76,531.51,Home & Furniture,0.17,55.5,0.24,0.35,0,Low,3,-0.736084436410747,-0.4337481057380789,Budget-Conscious / New
CUST100076,35,Male,Tier 1,82828,0.7,15,10,110.37,1014.07,Home & Furniture,0.52,69.7,0.17,0.12,1,Low,1,2.1045224352385024,1.2968521983073693,Mainstream Regulars
CUST100077,31,Female,Tier 3,19503,1.1,36,5,34.25,153.72,Sports,0.06,62.6,0.38,0.1,0,Medium,3,-2.1447274887331504,-2.052322608908025,Budget-Conscious / New
CUST100078,36,Male,Tier 2,53698,6.3,16,8,43.95,381.39,Electronics,0.64,79.4,0.5,0.22,1,Low,3,0.650956610408585,-2.2869218707858434,Budget-Conscious / New
CUST100079,18,Female,Tier 1,71071,2.1,4,6,71.37,454.93,Groceries,0.17,56.1,0.56,0.04,0,Low,1,-0.1161760238544742,0.206477180745796,Mainstream Regulars
CUST100080,32,Male,Tier 1,72133,4.0,1,7,77.35,489.9,Home & Furniture,0.46,44.6,0.44,0.12,0,Low,1,0.2442236614988407,0.2214686927898984,Mainstream Regulars
CUST100081,38,Male,Tier 1,78858,2.7,26,5,93.3,412.79,Beauty,0.52,59.3,0.3,0.12,1,Medium,1,0.2197064465042469,0.974175593913076,Mainstream Regulars
CUST100082,51,Female,Tier 2,70401,0.3,81,5,63.55,350.01,Beauty,0.63,46.4,0.17,0.16,0,Medium,0,-1.2472471268326335,0.7838313995889041,At-Risk / Dormant
CUST100083,29,Male,Tier 2,80619,2.9,38,5,75.65,409.64,Sports,0.53,40.6,0.13,0.37,1,Medium,1,-0.4182440535525641,0.9500576326681714,Mainstream Regulars
CUST100084,26,Female,Tier 1,49258,0.7,321,6,68.71,390.9,Groceries,0.24,33.5,0.38,0.01,0,Medium,0,-2.0621166332979013,1.183910317798843,At-Risk / Dormant
CUST100085,29,Female,Tier 1,55414,2.2,15,8,80.26,672.55,Beauty,0.21,61.9,0.24,0.14,1,Low,1,0.5160890220324268,-0.2405314452626923,Mainstream Regulars
CUST100086,45,Female,Tier 1,60092,0.9,14,9,60.75,485.1,Fashion,0.52,70.3,0.54,0.06,0,Low,3,0.1368912086923071,-0.6787177543976748,Budget-Conscious / New
CUST100087,38,Male,Tier 3,71143,12.0,7,15,59.29,891.23,Fashion,0.57,68.6,0.45,0.07,1,Low,2,3.69302565451844,-2.6373641015850557,Champions (High-Value Loyal)
CUST100088,29,Male,Tier 3,68807,0.7,8,4,126.6,433.29,Fashion,0.37,63.0,0.19,0.26,1,Medium,1,0.1738167338173158,1.8233920551205685,Mainstream Regulars
CUST100089,40,Male,Tier 1,80122,0.7,15,5,98.52,476.58,Beauty,0.16,42.7,0.56,0.14,0,Medium,1,-0.2973448073147529,1.7791616717070895,Mainstream Regulars
CUST100090,36,Female,Tier 2,81702,5.9,70,18,84.08,1320.41,Sports,0.37,69.1,0.45,0.05,0,Medium,2,4.120559444782965,-0.688300810474989,Champions (High-Value Loyal)
CUST100091,45,Female,Tier 1,52795,0.1,106,3,77.03,229.37,Fashion,0.46,42.5,0.39,0.11,0,Medium,0,-2.0024388641831345,0.9606324304740984,At-Risk / Dormant
CUST100092,27,Female,Tier 1,96810,2.6,166,9,98.81,868.4,Electronics,0.15,72.3,0.38,0.02,0,Medium,0,1.856735750078697,1.5722316102158052,At-Risk / Dormant
CUST100093,31,Female,Tier 2,85818,2.8,11,7,104.52,719.43,Beauty,0.46,72.3,0.62,0.03,0,Low,1,1.610111333654992,1.0232319353440755,Mainstream Regulars
CUST100094,30,Female,Tier 3,66241,4.0,95,13,77.59,871.09,Groceries,0.27,79.4,0.33,0.03,0,Medium,2,2.217018191573357,-0.7726721158355747,Champions (High-Value Loyal)
CUST100095,18,Female,Tier 3,80272,8.1,17,13,88.26,1099.75,Sports,0.25,91.3,0.27,0.17,1,Low,2,4.113038417772419,-1.2149946341248608,Champions (High-Value Loyal)
CUST100096,38,Male,Tier 2,31380,8.2,5,12,44.45,574.44,Fashion,0.42,100.0,0.31,0.14,0,Low,2,2.010401348250209,-3.969352477625579,Champions (High-Value Loyal)
CUST100097,37,Female,Tier 1,61359,0.1,91,2,49.42,94.95,Electronics,0.62,45.4,0.5,0.3,1,Medium,0,-2.490413240493373,0.4535418509092103,At-Risk / Dormant
CUST100098,35,Male,Tier 2,46764,3.8,45,8,88.04,749.78,Groceries,0.54,78.5,0.32,0.07,2,Low,2,1.207841879610689,-0.7745545492946844,Champions (High-Value Loyal)
CUST100099,32,Female,Tier 1,81786,2.3,8,12,74.03,853.58,Electronics,0.5,85.4,0.33,0.21,0,Low,2,2.282397053173355,-0.4545621484584856,Champions (High-Value Loyal)
CUST100100,19,Female,Tier 2,34697,2.3,25,6,28.51,167.12,Fashion,0.9,71.5,0.18,0.03,2,Low,3,-1.3798638601438131,-2.254412591206608,Budget-Conscious / New
CUST100101,30,Female,Tier 1,81634,0.3,15,11,84.84,951.13,Electronics,0.63,91.8,0.12,0.21,1,Low,2,2.229922262166962,0.1396802559131541,Champions (High-Value Loyal)
CUST100102,31,Male,Tier 2,83069,2.3,60,6,74.8,509.48,Fashion,0.42,51.0,0.22,0.29,1,Low,1,0.0015457465895105,0.8924191252088882,Mainstream Regulars
CUST100103,26,Male,Tier 1,78913,8.9,27,17,84.99,1275.29,Electronics,0.31,75.3,0.2,0.1,1,Low,2,4.635194682523456,-1.4204893199622275,Champions (High-Value Loyal)
CUST100104,33,Male,Tier 1,74307,5.3,204,9,92.24,713.83,Sports,0.57,51.4,0.48,0.03,0,Medium,0,1.0606355569967991,0.8283876207236118,At-Risk / Dormant
CUST100105,39,Male,Tier 3,38818,1.3,2,8,67.28,555.67,Fashion,0.51,63.6,0.19,0.04,1,Low,3,-0.1970120024246106,-0.9949315212987728,Budget-Conscious / New
CUST100106,55,Male,Tier 1,62756,0.1,19,2,84.52,191.81,Fashion,0.13,55.9,0.23,0.04,2,Medium,1,-1.4442496728096723,0.9723674085818228,Mainstream Regulars
CUST100107,36,Female,Tier 2,82893,1.0,29,11,84.49,1065.93,Beauty,0.31,87.9,0.45,0.14,0,Low,2,2.432928343384799,0.1932906979065868,Champions (High-Value Loyal)
CUST100108,37,Female,Tier 1,84828,3.9,31,13,91.43,1182.94,Home & Furniture,0.13,67.2,0.29,0.35,0,Low,2,3.041160036833675,0.2240647730965603,Champions (High-Value Loyal)
CUST100109,34,Male,Tier 1,68897,2.7,17,3,83.53,248.19,Groceries,0.16,50.6,0.18,0.02,0,Medium,1,-0.7968496469016376,0.7224177761829897,Mainstream Regulars
CUST100110,18,Male,Tier 1,55677,1.4,58,4,40.03,167.08,Home & Furniture,0.24,54.3,0.06,0.16,0,Medium,3,-1.803307490368352,-0.5982295296883919,Budget-Conscious / New
CUST100111,34,Male,Tier 1,33135,0.1,93,5,56.17,285.54,Beauty,0.3,48.0,0.31,0.04,1,Medium,0,-2.062521545856918,-0.4435392827245675,At-Risk / Dormant
CUST100112,35,Female,Tier 3,35724,1.2,125,8,27.91,232.26,Beauty,0.27,30.5,0.42,0.13,0,Medium,0,-2.3520893622166392,-1.081625355186399,At-Risk / Dormant
CUST100113,62,Male,Tier 1,115205,1.4,73,6,146.61,978.36,Groceries,0.26,47.7,0.47,0.13,0,Medium,1,1.963162469760901,3.9847497574652033,Mainstream Regulars
CUST100114,32,Female,Tier 3,30751,5.8,85,7,39.56,297.38,Beauty,0.43,63.7,0.59,0.14,0,Medium,3,-0.6491588134059707,-2.3741414377631784,Budget-Conscious / New
CUST100115,38,Male,Tier 2,64610,2.3,35,7,71.07,497.02,Groceries,0.39,77.8,0.44,0.16,0,Low,1,0.4584163080684011,-0.4299473556677788,Mainstream Regulars
CUST100116,34,Female,Tier 1,87733,0.8,78,5,81.57,403.18,Fashion,0.68,38.3,0.55,0.17,0,Medium,1,-0.7437558264203646,1.820471196867506,Mainstream Regulars
CUST100117,22,Female,Tier 2,32211,1.6,16,6,37.39,233.74,Beauty,0.52,46.5,0.16,0.24,0,Low,3,-1.877531813770716,-1.5016649400058708,Budget-Conscious / New
CUST100118,47,Male,Tier 2,68124,0.2,22,2,110.88,218.81,Groceries,0.45,52.2,0.67,0.2,0,Medium,1,-1.0422980673813511,1.8726715840154051,Mainstream Regulars
CUST100119,43,Female,Tier 2,80082,7.9,17,12,100.84,1194.75,Beauty,0.61,47.4,0.49,0.14,1,Low,2,3.234657883431337,0.1095490659364282,Champions (High-Value Loyal)
CUST100120,43,Male,Tier 1,73424,1.0,28,3,57.95,148.62,Electronics,0.18,47.9,0.44,0.26,1,Medium,3,-1.6083677887701362,0.5471128177879687,Budget-Conscious / New
CUST100121,24,Female,Tier 1,117231,1.4,15,6,140.26,759.27,Fashion,0.52,39.7,0.36,0.23,0,Low,1,1.493244622610311,3.8198175538932335,Mainstream Regulars
CUST100122,50,Male,Tier 3,30965,1.0,146,4,63.7,253.92,Sports,0.25,59.8,0.19,0.15,1,Medium,0,-1.8721731804751147,-0.4508129726232716,At-Risk / Dormant
CUST100123,19,Female,Tier 3,67657,2.5,16,6,72.16,474.87,Fashion,0.64,51.2,0.19,0.17,0,Low,1,-0.1980034159629724,0.2024511338999923,Mainstream Regulars
CUST100124,41,Female,Tier 3,54289,2.4,4,8,69.84,521.63,Sports,0.45,85.4,0.18,0.12,0,Low,3,0.7204157825738557,-1.1014313520939765,Budget-Conscious / New
CUST100125,59,Female,Tier 1,93494,2.8,33,14,97.69,1376.95,Sports,0.24,88.1,0.34,0.39,1,Low,2,4.008574837529313,0.3516266020398938,Champions (High-Value Loyal)
CUST100126,24,Female,Tier 2,63543,0.7,2,6,102.54,586.62,Beauty,0.7,54.0,0.39,0.13,0,Low,1,0.1044081921099321,1.0768607740766487,Mainstream Regulars
CUST100127,28,Male,Tier 2,44003,0.8,5,6,44.72,236.51,Groceries,0.52,48.6,0.56,0.06,0,Low,3,-1.6558133178276508,-0.9215149031515985,Budget-Conscious / New
CUST100128,36,Male,Tier 2,64521,0.3,11,4,75.96,345.61,Groceries,0.33,54.6,0.42,0.1,0,Medium,1,-0.9783829497145714,0.6313606745437965,Mainstream Regulars
CUST100129,29,Male,Tier 1,34157,2.3,28,4,42.04,186.05,Beauty,0.84,53.9,0.58,0.26,2,Medium,3,-1.8732771342053127,-1.3934154938144123,Budget-Conscious / New
CUST100130,18,Male,Tier 2,64058,0.1,25,2,51.89,90.66,Home & Furniture,0.73,55.7,0.27,0.16,0,Medium,3,-2.038062437331193,0.1795998423445097,Budget-Conscious / New
CUST100131,35,Female,Tier 1,75366,2.0,72,6,115.68,739.84,Groceries,0.37,45.5,0.35,0.03,2,Medium,1,0.5902225997805349,1.954841006486667,Mainstream Regulars
CUST100132,23,Male,Tier 1,76695,4.5,60,9,66.19,568.47,Sports,0.06,71.0,0.65,0.16,0,Low,2,1.1485351440456215,-0.509295263698777,Champions (High-Value Loyal)
CUST100133,40,Female,Tier 3,76046,4.9,25,9,86.67,895.83,Home & Furniture,0.32,68.7,0.13,0.06,0,Low,2,2.0362236064394166,-0.0781947733881992,Champions (High-Value Loyal)
CUST100134,24,Female,Tier 1,72217,1.3,18,5,54.07,254.32,Sports,0.53,54.1,0.22,0.42,1,Medium,3,-1.0096553645952588,0.0605260702205935,Budget-Conscious / New
CUST100135,52,Female,Tier 1,79465,1.4,17,8,80.23,591.53,Electronics,0.29,55.8,0.63,0.02,1,Low,1,0.477758394376731,0.6923165453294448,Mainstream Regulars
CUST100136,26,Male,Tier 1,50540,0.2,66,4,68.45,279.38,Electronics,0.18,49.2,0.4,0.06,0,Medium,3,-1.669997915005623,0.325466299785867,Budget-Conscious / New
CUST100137,31,Female,Tier 3,40580,2.4,2,5,41.45,228.09,Fashion,0.43,50.0,0.6,0.26,1,Medium,3,-1.588763971127534,-1.3212985876853367,Budget-Conscious / New
CUST100138,43,Female,Tier 2,84561,3.8,1,11,99.27,991.24,Fashion,0.26,72.6,0.21,0.19,4,Low,2,2.7233402002048974,0.3650327894076406,Champions (High-Value Loyal)
CUST100139,21,Male,Tier 1,90254,0.6,71,2,91.18,193.82,Home & Furniture,0.55,47.9,0.15,0.17,1,Medium,1,-1.1315915549015243,2.1717309162412817,Mainstream Regulars
CUST100140,37,Female,Tier 3,51514,1.2,29,8,80.33,558.08,Electronics,0.08,66.2,0.21,0.06,0,Low,1,0.1643304087713083,-0.2472940247817608,Mainstream Regulars
CUST100141,49,Female,Tier 3,61428,4.0,6,7,91.62,721.94,Sports,0.68,84.6,0.64,0.18,0,Low,2,1.5643901716654285,-0.462508012389398,Champions (High-Value Loyal)
CUST100142,18,Male,Tier 1,46916,4.6,12,9,50.3,395.81,Fashion,0.59,65.2,0.65,0.03,1,Low,3,0.172760180525156,-1.8494845141633192,Budget-Conscious / New
CUST100143,37,Male,Tier 2,81909,0.6,121,6,89.41,603.13,Fashion,0.1,62.0,0.22,0.2,1,Medium,0,0.1574561461560402,1.5008911938985328,At-Risk / Dormant
CUST100144,37,Male,Tier 2,72777,1.8,88,7,83.4,582.19,Fashion,0.19,58.0,0.53,0.08,0,Medium,1,0.2256389615524136,0.7781296717393235,Mainstream Regulars
